epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.8142326474189758,9.999999747378752e-06,0.5580105185508728,0.9601704478263855,0.9285528659820557,0.22543178498744965,0.9908028244972229
1,0.8466315269470215,9.999999747378752e-06,0.4606848359107971,0.9715243577957153,0.9390491247177124,0.19252963364124298,0.9923096895217896
2,0.8623242974281311,9.999999747378752e-06,0.408008337020874,0.9761490225791931,0.9474149346351624,0.16781599819660187,0.9940763711929321
3,0.8779781460762024,9.999999747378752e-06,0.36257070302963257,0.9805659055709839,0.9535983204841614,0.14740687608718872,0.9953234791755676
4,0.8881888389587402,9.999999747378752e-06,0.3345450162887573,0.982241690158844,0.9591062664985657,0.13215197622776031,0.9960508942604065
5,0.8978539109230042,9.999999747378752e-06,0.30583465099334717,0.9851645827293396,0.9634190797805786,0.11914020776748657,0.9967783689498901
6,0.9035438895225525,9.999999747378752e-06,0.2828935384750366,0.9873080849647522,0.9671083688735962,0.10837899148464203,0.9970901608467102
7,0.9128192663192749,9.999999747378752e-06,0.2600664794445038,0.9881524443626404,0.970797598361969,0.09675529599189758,0.9974018931388855
8,0.9187949895858765,9.999999747378752e-06,0.24095919728279114,0.9900751113891602,0.9728760719299316,0.08862943202257156,0.9976097941398621
9,0.9236405491828918,9.999999747378752e-06,0.22797991335391998,0.9905427694320679,0.9750584363937378,0.08032882958650589,0.9981293678283691
10,0.9290576577186584,9.999999747378752e-06,0.21235036849975586,0.9921665787696838,0.9772408604621887,0.07467155903577805,0.9982852935791016
11,0.9330328106880188,9.999999747378752e-06,0.2010650932788849,0.992517352104187,0.978903591632843,0.06960603594779968,0.9985450506210327
12,0.9360596537590027,9.999999747378752e-06,0.19065730273723602,0.992803156375885,0.9809820652008057,0.06277621537446976,0.998649001121521
13,0.939736008644104,9.999999747378752e-06,0.1794126033782959,0.9943490624427795,0.9823850393295288,0.05858580768108368,0.9988048672676086
14,0.9442178010940552,9.999999747378752e-06,0.16781257092952728,0.9944789409637451,0.983788013458252,0.05470575392246246,0.9989088177680969
15,0.9458416700363159,9.999999747378752e-06,0.15929412841796875,0.9946997761726379,0.9844635128974915,0.05226239934563637,0.9991686344146729
16,0.9485307335853577,9.999999747378752e-06,0.15391062200069427,0.9948037266731262,0.9856066703796387,0.047889433801174164,0.9992725253105164
17,0.9515705704689026,9.999999747378752e-06,0.1458739936351776,0.9958170056343079,0.9869056940078735,0.04420816898345947,0.9992205500602722
18,0.9531034827232361,9.999999747378752e-06,0.13987252116203308,0.9956610798835754,0.9877370595932007,0.04196726903319359,0.9993245005607605
19,0.9560653567314148,9.999999747378752e-06,0.13424542546272278,0.9961157441139221,0.9880488514900208,0.03913530707359314,0.9994284510612488
20,0.95644211769104,9.999999747378752e-06,0.1288115233182907,0.9962976574897766,0.9886723756790161,0.036455873399972916,0.9994803667068481
21,0.9592610597610474,9.999999747378752e-06,0.12404028326272964,0.9966094493865967,0.9898675084114075,0.03361153602600098,0.9995323419570923
22,0.9597157835960388,9.999999747378752e-06,0.11913683265447617,0.9967133402824402,0.9900233745574951,0.032469600439071655,0.9995843172073364
23,0.9632232785224915,9.999999747378752e-06,0.11248829215765,0.9969731569290161,0.9909586906433105,0.03052453324198723,0.9996362924575806
24,0.9643924236297607,9.999999747378752e-06,0.10819577425718307,0.9967913031578064,0.99132239818573,0.028773456811904907,0.9996362924575806
25,0.9660422205924988,9.999999747378752e-06,0.10385625064373016,0.997219979763031,0.9915822148323059,0.026995262131094933,0.9995843172073364
26,0.9667697548866272,9.999999747378752e-06,0.0998767763376236,0.9973888397216797,0.99163419008255,0.02638300694525242,0.9995843172073364
27,0.9673413038253784,9.999999747378752e-06,0.09729472547769547,0.9979474544525146,0.9922057390213013,0.024567412212491035,0.9997401833534241
28,0.9685754179954529,9.999999747378752e-06,0.09512357413768768,0.9974018335342407,0.992673397064209,0.023112520575523376,0.9997401833534241
29,0.9686403870582581,9.999999747378752e-06,0.09433866292238235,0.9974538087844849,0.993245005607605,0.021740147843956947,0.9998441338539124
