epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.7156460285186768,0.0010000000474974513,0.9041382074356079,0.9049598574638367,0.888126790523529,0.35591089725494385,0.9812418818473816
1,0.783210813999176,0.0010000000474974513,0.6706130504608154,0.9487645626068115,0.8990906476974487,0.31271377205848694,0.9850870370864868
2,0.792330265045166,0.0010000000474974513,0.6473740339279175,0.9510509371757507,0.9022603034973145,0.2987939417362213,0.9865939021110535
3,0.7921614050865173,0.0010000000474974513,0.6491020321846008,0.9522850513458252,0.9099506139755249,0.28371813893318176,0.987009584903717
4,0.7977604269981384,0.0010000000474974513,0.6321188807487488,0.9536101222038269,0.9087035655975342,0.2822556495666504,0.9862821698188782
5,0.7986307740211487,0.0010000000474974513,0.6185166835784912,0.9537400007247925,0.9138477444648743,0.27082088589668274,0.9876850843429565
6,0.8014497756958008,0.0010000000474974513,0.6120122075080872,0.9548312425613403,0.910262405872345,0.2804534435272217,0.987009584903717
7,0.8014497756958008,0.0010000000474974513,0.6085281372070312,0.9565590023994446,0.9114055633544922,0.2789882719516754,0.9869056940078735
8,0.8101925253868103,0.0005000000237487257,0.574465811252594,0.9590402245521545,0.9228370785713196,0.25168389081954956,0.9892958998680115
9,0.8171165585517883,0.0005000000237487257,0.5563710927963257,0.9615864157676697,0.9202390313148499,0.255806028842926,0.9891400337219238
10,0.8177141547203064,0.0005000000237487257,0.5522285103797913,0.9624828100204468,0.924344003200531,0.2519764304161072,0.9896596670150757
11,0.8214294910430908,0.0002500000118743628,0.5402963757514954,0.963041365146637,0.9250195026397705,0.24582092463970184,0.9904390573501587
12,0.8230143785476685,0.0002500000118743628,0.5316540002822876,0.9631193280220032,0.9255390763282776,0.24482086300849915,0.9898675084114075
13,0.823118269443512,0.0002500000118743628,0.5282335877418518,0.9634051322937012,0.9232008457183838,0.2499585747718811,0.9891400337219238
14,0.8249369859695435,0.0002500000118743628,0.5274179577827454,0.9639377593994141,0.9255390763282776,0.24733516573905945,0.990283191204071
