epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.6402478814125061,0.0010000000474974513,1.1429500579833984,0.862298309803009,0.7717329263687134,0.6932215094566345,0.9407118558883667
1,0.7058770060539246,0.0010000000474974513,0.9121324419975281,0.9099223017692566,0.7917900681495667,0.6607986092567444,0.9486100077629089
2,0.7104887366294861,0.0010000000474974513,0.8939080834388733,0.9157551527023315,0.7789555788040161,0.6794294714927673,0.9442452788352966
3,0.7158278822898865,0.0010000000474974513,0.8762471079826355,0.9176258444786072,0.8149129748344421,0.5839645266532898,0.9566640853881836
4,0.7205564975738525,0.0010000000474974513,0.8622721433639526,0.9184312224388123,0.8001558780670166,0.6068198084831238,0.9482982754707336
5,0.7214269042015076,0.0010000000474974513,0.853896975517273,0.919470489025116,0.7954273819923401,0.6106991767883301,0.9511561393737793
6,0.7332874536514282,0.0005000000237487257,0.8087853193283081,0.9245368838310242,0.8139256834983826,0.5771812200546265,0.9504286646842957
7,0.7347294092178345,0.0005000000237487257,0.7977416515350342,0.9264335036277771,0.8157443404197693,0.5665540099143982,0.9559366106987
8,0.7407441139221191,0.0005000000237487257,0.7878809571266174,0.9270830750465393,0.8212522864341736,0.5486180186271667,0.958950400352478
9,0.7368858456611633,0.0005000000237487257,0.7886397838592529,0.9269141554832458,0.8253572583198547,0.5345730781555176,0.9607690572738647
10,0.7389903664588928,0.0005000000237487257,0.7854941487312317,0.9287978410720825,0.8204728364944458,0.547598659992218,0.954897403717041
11,0.741549551486969,0.0005000000237487257,0.7800136208534241,0.9287068843841553,0.8220836520195007,0.5458323359489441,0.9571317434310913
12,0.745121955871582,0.0002500000118743628,0.766444742679596,0.9304736256599426,0.8210963606834412,0.556880533695221,0.9525591135025024
13,0.746265172958374,0.0002500000118743628,0.7623501420021057,0.9301229119300842,0.8184463381767273,0.5594111084938049,0.9546375870704651
14,0.7508119344711304,0.0001250000059371814,0.7534076571464539,0.93224036693573,0.8255131244659424,0.544121503829956,0.9563522934913635
