epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.7171529531478882,0.0010000000474974513,0.9028866291046143,0.9043622612953186,0.8873473405838013,0.35348397493362427,0.9802026748657227
1,0.7859907746315002,0.0010000000474974513,0.6694090962409973,0.9468679428100586,0.8998181223869324,0.3097513020038605,0.9847752451896667
2,0.7919535636901855,0.0010000000474974513,0.650436520576477,0.9511938691139221,0.8958690762519836,0.3083469867706299,0.98649001121521
3,0.7926680445671082,0.0010000000474974513,0.6409979462623596,0.9525578618049622,0.9103663563728333,0.28094765543937683,0.9868537187576294
4,0.7963963747024536,0.0010000000474974513,0.6301003098487854,0.9543505907058716,0.9103143811225891,0.2810196876525879,0.9870615601539612
5,0.7990594506263733,0.0010000000474974513,0.6217473745346069,0.9541557431221008,0.9111457467079163,0.2743247151374817,0.9879968762397766
6,0.8000078201293945,0.0010000000474974513,0.6168903112411499,0.9549092054367065,0.9112496972084045,0.28112202882766724,0.9866458773612976
7,0.8022552132606506,0.0010000000474974513,0.6042375564575195,0.9558055400848389,0.911613404750824,0.27717188000679016,0.9879968762397766
8,0.811218798160553,0.0005000000237487257,0.5732746720314026,0.9585465788841248,0.9234606623649597,0.2545868158340454,0.9893998503684998
9,0.813154399394989,0.0005000000237487257,0.5630932450294495,0.9604562520980835,0.9224733710289001,0.2546073794364929,0.9897116422653198
10,0.8154277801513672,0.0005000000237487257,0.5531249046325684,0.961417555809021,0.9225773215293884,0.25114256143569946,0.9900233745574951
11,0.8176751732826233,0.0005000000237487257,0.5516255497932434,0.9611837267875671,0.9227331876754761,0.2515470087528229,0.9904390573501587
12,0.8194679021835327,0.0005000000237487257,0.5478283762931824,0.9621580243110657,0.9226292371749878,0.25435468554496765,0.9892439842224121
13,0.8256774544715881,0.0002500000118743628,0.5284149050712585,0.9642754793167114,0.9244478940963745,0.24660083651542664,0.9903351664543152
14,0.8240406513214111,0.0002500000118743628,0.5280793309211731,0.9641715884208679,0.9249675273895264,0.2457575798034668,0.990283191204071
15,0.8237678408622742,0.0002500000118743628,0.5257241725921631,0.9638857841491699,0.9271498918533325,0.2434312254190445,0.9904390573501587
16,0.8250149488449097,0.0002500000118743628,0.5270086526870728,0.9640806317329407,0.9261626601219177,0.2457415908575058,0.9903871417045593
17,0.8251058459281921,0.0002500000118743628,0.5256564021110535,0.9636909365653992,0.9234086871147156,0.24777361750602722,0.9904390573501587
18,0.8275091648101807,0.0001250000059371814,0.5194233059883118,0.9643924236297607,0.9275136590003967,0.24233831465244293,0.990543007850647
19,0.8288861513137817,0.0001250000059371814,0.5149831771850586,0.9646522402763367,0.9289165735244751,0.2424745261669159,0.9906988739967346
20,0.8276130557060242,0.0001250000059371814,0.5159605145454407,0.9647951126098633,0.9264224767684937,0.2426840215921402,0.9904910326004028
21,0.8290810585021973,6.25000029685907e-05,0.5129964351654053,0.9655875563621521,0.927825391292572,0.24103491008281708,0.9905949831008911
22,0.8286653161048889,6.25000029685907e-05,0.510378360748291,0.9654576778411865,0.9282930493354797,0.24086791276931763,0.9907508492469788
23,0.8288212418556213,6.25000029685907e-05,0.5113658308982849,0.9651069045066833,0.9275655746459961,0.24179649353027344,0.9904910326004028
24,0.8307958245277405,6.25000029685907e-05,0.5105407238006592,0.9652628302574158,0.9289165735244751,0.2407790869474411,0.9906988739967346
25,0.8306918740272522,3.125000148429535e-05,0.5070216655731201,0.9650809168815613,0.9281371831893921,0.2407388985157013,0.9906468987464905
26,0.829548716545105,3.125000148429535e-05,0.5097173452377319,0.9650939106941223,0.9286048412322998,0.2396305501461029,0.9905949831008911
27,0.8293408751487732,3.125000148429535e-05,0.513124942779541,0.9657953977584839,0.9285008907318115,0.24008171260356903,0.9903351664543152
28,0.8330951929092407,3.125000148429535e-05,0.501829981803894,0.9665488600730896,0.9276175498962402,0.24076621234416962,0.9904390573501587
29,0.8324326276779175,1.5625000742147677e-05,0.5011773109436035,0.9659253358840942,0.9282410740852356,0.2401059865951538,0.9903871417045593
30,0.8335628509521484,1.5625000742147677e-05,0.5010772943496704,0.9663150310516357,0.928085207939148,0.23987402021884918,0.990543007850647
31,0.8324586153030396,7.812500371073838e-06,0.5050520896911621,0.9662631154060364,0.928396999835968,0.2398727685213089,0.990543007850647
