epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.7828278541564941,0.0010000000474974513,1.086694359779358,0.9288923144340515,0.5793043971061707,10.299129486083984,0.7094404697418213
1,0.8328427672386169,0.0010000000474974513,0.9023314118385315,0.9527736306190491,0.5454741716384888,7.922977924346924,0.7081010937690735
2,0.837561845779419,0.0010000000474974513,0.7586525678634644,0.9612822532653809,0.5544177889823914,6.555723190307617,0.7089652419090271
3,0.8515283465385437,0.0010000000474974513,0.6182944774627686,0.9706846475601196,0.4587167799472809,6.851590633392334,0.7113847732543945
4,0.8629565834999084,0.0010000000474974513,0.5211802124977112,0.979133665561676,0.44657593965530396,6.80133581161499,0.7131561636924744
5,0.7798367142677307,0.0005000000237487257,0.7445008158683777,0.9616636037826538,0.4280838072299957,6.468441963195801,0.7081443071365356
6,0.7727581262588501,0.0005000000237487257,0.7175125479698181,0.9650241136550903,0.4260099232196808,6.720320701599121,0.709354043006897
7,0.7711136341094971,0.0005000000237487257,0.6998430490493774,0.9662038683891296,0.42233744263648987,6.793479919433594,0.7089220285415649
8,0.6299350261688232,0.0002500000118743628,1.0514116287231445,0.9221593141555786,0.39498811960220337,6.550981521606445,0.7012313604354858
9,0.627742350101471,0.0002500000118743628,1.027803659439087,0.9236489534378052,0.3713977038860321,6.845027446746826,0.6967379450798035
10,0.5201811194419861,0.0001250000059371814,1.3636740446090698,0.8481677770614624,0.40661048889160156,5.8571553230285645,0.681140661239624
11,0.5233390927314758,0.0001250000059371814,1.319701910018921,0.8489423990249634,0.3932598829269409,5.909598350524902,0.6731475591659546
12,0.5280343294143677,0.0001250000059371814,1.2961794137954712,0.8560924530029297,0.4078202545642853,5.930430889129639,0.6739252805709839
13,0.4428528845310211,6.25000029685907e-05,1.685883641242981,0.749567985534668,0.47673362493515015,5.086581707000732,0.6577662825584412
14,0.4584639072418213,6.25000029685907e-05,1.602469801902771,0.7574688792228699,0.4664074182510376,5.187779426574707,0.6506372690200806
