epoch,accuracy,learning_rate,loss,top_3_accuracy,val_accuracy,val_loss,val_top_3_accuracy
0,0.6386629939079285,0.0010000000474974513,1.1470186710357666,0.8599729537963867,0.774850606918335,0.7055351734161377,0.9380618333816528
1,0.7057990431785583,0.0010000000474974513,0.914663553237915,0.9104159474372864,0.7832164168357849,0.6634495258331299,0.9419589638710022
2,0.7097352743148804,0.0010000000474974513,0.896774172782898,0.9128062725067139,0.7954273819923401,0.6254516243934631,0.9460119605064392
3,0.7144898772239685,0.0010000000474974513,0.883560061454773,0.9143781065940857,0.8006755113601685,0.6144201159477234,0.9530267715454102
4,0.7172569036483765,0.0010000000474974513,0.8708587884902954,0.9159759879112244,0.8036892414093018,0.6060068607330322,0.950272798538208
5,0.7214528918266296,0.0010000000474974513,0.848583996295929,0.9196264147758484,0.7935048341751099,0.6300161480903625,0.9458560943603516
6,0.7233625054359436,0.0010000000474974513,0.841145396232605,0.9204317927360535,0.802442193031311,0.5988801717758179,0.9542219042778015
7,0.7268959879875183,0.0010000000474974513,0.8328951597213745,0.9226921796798706,0.8038451671600342,0.6015663146972656,0.9517796635627747
8,0.7280521988868713,0.0010000000474974513,0.8274470567703247,0.9218608140945435,0.8179267048835754,0.5718426704406738,0.9544816613197327
9,0.7286757230758667,0.0010000000474974513,0.8180897831916809,0.9229390025138855,0.81215900182724,0.5768165588378906,0.9565081596374512
10,0.7297799587249756,0.0010000000474974513,0.813936173915863,0.9234586358070374,0.8028578758239746,0.5956199169158936,0.9542738199234009
11,0.7367429733276367,0.0005000000237487257,0.7891733646392822,0.927836537361145,0.8213561773300171,0.5530468821525574,0.9569758176803589
12,0.7418093681335449,0.0005000000237487257,0.775834858417511,0.9296292662620544,0.8209924697875977,0.5536008477210999,0.9573395848274231
13,0.7422380447387695,0.0005000000237487257,0.776961088180542,0.9282132387161255,0.8186022639274597,0.5603933334350586,0.9558846354484558
14,0.7480059266090393,0.0002500000118743628,0.7588726282119751,0.9310322403907776,0.8223434686660767,0.5627203583717346,0.9545336365699768
15,0.7486165165901184,0.0002500000118743628,0.7573611736297607,0.9319026470184326,0.8214601278305054,0.55610191822052,0.9561964273452759
16,0.7490841746330261,0.0001250000059371814,0.754101037979126,0.9323962926864624,0.829721987247467,0.5366228222846985,0.9587425589561462
17,0.7526825666427612,0.0001250000059371814,0.7505018711090088,0.9316688179969788,0.8281631469726562,0.5426910519599915,0.957599401473999
18,0.7513964772224426,0.0001250000059371814,0.7482234239578247,0.9326691031455994,0.8273837566375732,0.5441546440124512,0.9578591585159302
19,0.7533451318740845,6.25000029685907e-05,0.7410990595817566,0.933123767375946,0.8253052830696106,0.5441407561302185,0.9578072428703308
20,0.7552937269210815,6.25000029685907e-05,0.7404006719589233,0.9343059062957764,0.8268641233444214,0.5397617816925049,0.958638608455658
21,0.7533711194992065,3.125000148429535e-05,0.7393338084220886,0.9352022409439087,0.8263444900512695,0.5418531894683838,0.9581189751625061
